cliente_id,nombre,ciudad,segmento,fecha_registro
1,Ángela Juana Villegas Valdivia,Nueva Afganistán,Corporativo,2026-06-09
2,Ing. Rodrigo Véliz,Nueva Kenya,Retail,2026-06-22
3,José Manuél Clemente Piña Alejandro,Nueva Países Bajos,Retail,2023-10-20
4,Amelia Lozada Villaseñor,Nueva Túnez,Corporativo,2024-01-15
5,Linda Violeta Cano Negrete,San Hernán de la Montaña,Mayorista,2024-11-04
6,María José Nelly Tovar,Nueva Santo Tomé y Príncipe,Retail,2026-07-06
7,Gloria Sauceda,San Concepción de la Montaña,Retail,2024-11-29
8,Felix Arias Acosta,Vieja Eslovenia,Retail,2025-06-15
9,Ing. Lucía Fierro,Nueva República Checa,Corporativo,2024-11-04
10,Francisca Zoé Barraza,San Germán los altos,Retail,2026-04-02
11,Leonel Zavala,Vieja Singapur,Corporativo,2026-08-05
12,Virginia Loya Carrera,San Maximiliano de la Montaña,Corporativo,2024-10-08
13,Ramiro Miguel Ángel Arevalo Bahena,Vieja Guinea Bissau,Corporativo,2024-08-03
14,Srita. Irene León,Nueva Finlandia,Retail,2025-12-03
15,Agustín Israel Herrera,San Silvano de la Montaña,Corporativo,2024-08-02
16,Indira Velásquez,San Dalia de la Montaña,Mayorista,2024-10-11
17,Sr. Teodoro Ulloa,San Elena los altos,Retail,2024-04-23
18,Jaime Pascual Suárez Cavazos,Nueva Albania,Retail,2026-01-16
19,Pascual Anaya,San Benjamín los altos,Retail,2025-02-28
20,Ing. Roberto Palacios,San Leonor de la Montaña,Retail,2024-11-18
21,Humberto Zamudio,San Fidel de la Montaña,Retail,2026-07-06
22,Israel Jáquez Raya,San Leticia los bajos,Corporativo,2026-07-27
23,Rosalia Ponce,San Agustín los bajos,Corporativo,2026-07-12
24,Aurelio Cintrón,Nueva Côte d'Ivoire,Retail,2024-11-08
25,Ramón Víctor Canales,Nueva Suecia,Corporativo,2025-05-26
26,Abigail Zoé Ochoa Villalpando,Nueva Eslovenia,Retail,2025-07-25
27,Ramiro Manuel Roybal,Nueva Papua Nueva Guinea,Corporativo,2024-12-04
28,Sra. Esperanza Reynoso,Vieja República Checa,Corporativo,2024-03-09
29,Sr. Hernán Navarro,Nueva Nauru,Corporativo,2024-05-29
30,Luis Miguel Arriaga,Nueva República Popular Democrática de Corea,Corporativo,2024-02-02
31,Renato Lorenzo Santiago,San Raquel de la Montaña,Mayorista,2024-09-07
32,Dr. Bernabé Salinas,San Fabiola los bajos,Retail,2024-03-17
33,Fidel Ordóñez Jurado,Vieja Etiopía,Mayorista,2024-08-06
34,Paulina Ríos Apodaca,Vieja Tayikistán,Corporativo,2026-02-04
35,,San Magdalena de la Montaña,Mayorista,2024-10-01
36,Sr. Federico Laboy,San Dalia los altos,Retail,2025-03-15
37,Srita. Socorro Muñoz,San Ofelia de la Montaña,Retail,2026-01-04
38,Ing. Antonio Gaitán,San Wilfrido de la Montaña,Corporativo,2024-02-01
39,Lic. Leticia Arguello,Nueva Armenia,Mayorista,2025-01-31
40,Angélica Perea Negrón,San Luisa de la Montaña,Mayorista,2026-02-05
41,,Vieja Timor-Leste,Mayorista,2025-01-02
